"view_history","rt","stimulus_type","trial_type","trial_index","time_elapsed","internal_node_id","subject","trial_stimulus","key_press","minimum_viewing_duration","trial_looking_time","stimulus","ball_pref","location","block_number","stimulus_displayed","position_displayed","stim_type_selected"
"[{""page_index"":0,""viewing_time"":12203.850000048988},{""page_index"":1,""viewing_time"":2309.984999941662}]","14515.55000001099","instructions","instructions","0","14542","0.0-0.0","SS1611940874632","","","","","","","","","","",""
"","2555.9399999910966","","sequential-stimulus-presentation","1","18014","0.0-1.0","SS1611940874632","","40","900","3455.9399999910966","","","","","","",""
"","1977.614999981597","","sequential-stimulus-presentation","2","20897","0.0-2.0","SS1611940874632","","40","900","2877.614999981597","","","","","","",""
"[{""page_index"":0,""viewing_time"":4620.224999962375}]","4620.824999990873","instructions","instructions","3","25521","0.0-3.0","SS1611940874632","","","","","","","","","","",""
"","8389.940000022762","instructions","html-keyboard-response","4","33918","0.0-4.0","SS1611940874632","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","","","",""
"","1270.979999913834","pref_reveal","sequential-stimulus-presentation","5","36096","0.0-5.0","SS1611940874632","","40","900","2170.979999913834","","","","","","",""
"[{""page_index"":0,""viewing_time"":7775.27999994345},{""page_index"":1,""viewing_time"":3231.2650000676513},{""page_index"":2,""viewing_time"":859.2499999795109},{""page_index"":3,""viewing_time"":769.6599999908358}]","12635.8299999265","instructions","instructions","6","48737","0.0-6.0","SS1611940874632","","","","","","","","","","",""
"","null","","html-keyboard-response","7","49653","0.0-7.0-0.0","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","3238.5050000157207","trial","sequential-stimulus-presentation","8","53805","0.0-7.0-1.0","SS1611940874632","","40","900","4138.505000015721","","","","0","images/stimuli/spore_stims/complex_17_A_c.gif","right",""
"","null","","html-keyboard-response","9","54953","0.0-7.0-0.1","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1123.684999998659","trial","sequential-stimulus-presentation","10","56986","0.0-7.0-1.1","SS1611940874632","","40","900","2023.684999998659","","","","0","images/stimuli/spore_stims/complex_17_A_c.gif","right",""
"","null","","html-keyboard-response","11","58275","0.0-7.0-0.2","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1683.309999993071","trial","sequential-stimulus-presentation","12","60868","0.0-7.0-1.2","SS1611940874632","","40","900","2583.309999993071","","","","0","images/stimuli/spore_stims/complex_17_A_c.gif","right",""
"","null","","html-keyboard-response","13","61834","0.0-7.0-0.3","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1217.3600000096485","trial","sequential-stimulus-presentation","14","63964","0.0-7.0-1.3","SS1611940874632","","40","900","2117.3600000096485","","","","0","images/stimuli/spore_stims/complex_17_A_c.gif","right",""
"","null","","html-keyboard-response","15","64794","0.0-7.0-0.4","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1691.5850000223145","trial","sequential-stimulus-presentation","16","67398","0.0-7.0-1.4","SS1611940874632","","40","900","2591.5850000223145","","","","0","images/stimuli/spore_stims/complex_17_B_c.gif","middle",""
"","null","","html-keyboard-response","17","68669","0.0-7.0-0.5","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1060.620000003837","trial","sequential-stimulus-presentation","18","70638","0.0-7.0-1.5","SS1611940874632","","40","900","1960.620000003837","","","","0","images/stimuli/spore_stims/complex_17_A_c.gif","right",""
"","null","","html-keyboard-response","19","71593","0.0-7.0-0.6","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","627.3600000422448","trial","sequential-stimulus-presentation","20","73133","0.0-7.0-1.6","SS1611940874632","","40","900","1527.3600000422448","","","","0","images/stimuli/spore_stims/complex_17_A_c.gif","right",""
"","null","","html-keyboard-response","21","74130","0.0-7.0-0.7","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","480.6150000076741","trial","sequential-stimulus-presentation","22","75523","0.0-7.0-1.7","SS1611940874632","","40","900","1380.615000007674","","","","0","images/stimuli/spore_stims/complex_17_A_c.gif","right",""
"","1967.060000053607","pref_question","html-keyboard-response","23","77498","0.0-8.0","SS1611940874632","","49","","","<img src=images/stimuli/pokeballs_pref.jpg width =""800"" height = ""200"" style=""padding-top: 33%"">","1","left","0","","",""
"","2517.259999993257","pref_reveal","sequential-stimulus-presentation","24","80933","0.0-9.0","SS1611940874632","","40","900","3417.259999993257","","","","0","","","novel"
"","null","","html-keyboard-response","25","81769","0.0-10.0-0.0","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
"","1132.9850000329316","trial","sequential-stimulus-presentation","26","83818","0.0-10.0-1.0","SS1611940874632","","40","900","2032.9850000329316","","","","1","images/stimuli/spore_stims/simple_20_A_d.gif","middle",""
"","null","","html-keyboard-response","27","84880","0.0-10.0-0.1","SS1611940874632","","null","","","<p><img src= images/blank.png width =""200"" height = ""200"" style = ""float:right""></p><p><img src=images/blank.png width =""800"" height = ""200""></p>","","","","","",""
